Sn,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Continent,Population
,,,,,,,,,,,,,,,,
1,USA,"31,248,944","4,305","566,692",81,"23,754,731",340,"6,927,521","8,740","93,994","1,705","405,102,008","1,218,506","332,457,943",North America,115871
,,,,,,,,,,,,,,,,
2,Brazil,"12,842,717",,"325,559",,"11,239,099",,"1,278,059","8,318","60,099","1,523","28,600,000","133,838","213,691,728",South America,176567
,,,,,,,,,,,,,,,,
3,India,"12,314,688","12,578","163,460",32,"11,527,784","4,900","623,444","8,944","8,858",118,"245,912,587","176,895","1,390,160,589",Asia,"11,385,056"
,,,,,,,,,,,,,,,,
4,France,"4,695,082",,"95,976",,"296,166",,"4,302,940","5,109","71,810","1,468","64,823,784","991,463","65,381,957",Europe,146811
,,,,,,,,,,,,,,,,
5,Russia,"4,563,056","8,792","99,633",400,"4,186,251","9,832","277,172","2,300","31,258",683,"120,900,000","828,187","145,981,477",Europe,"3,214,651"
,,,,,,,,,,,,,,,,
6,UK,"4,353,668","3,402","126,816",52,"3,860,174",,"366,678",517,"63,880","1,861","127,546,869","1,871,466","68,153,448",Europe,165371
,,,,,,,,,,,,,,,,
7,Italy,"3,607,083",,"109,847",,"2,933,757",,"563,479","3,681","59,725","1,819","50,258,742","832,167","60,394,983",Europe,175501
,,,,,,,,,,,,,,,,
8,Turkey,"3,357,988",,"31,713",,"3,035,043",,"291,232","2,135","39,497",373,"38,821,795","456,630","85,018,143",Asia,"2,526,812"
,,,,,,,,,,,,,,,,
9,Spain,"3,291,394",,"75,541",,"3,054,725",,"161,128","1,843","70,376","1,615","42,707,830","913,177","46,768,384",Europe,146191
,,,,,,,,,,,,,,,,
10,Germany,"2,860,178","6,041","77,300",56,"2,548,200","13,200","234,678","3,680","34,056",920,"50,399,177","600,097","83,985,015",Europe,"2,910,862"
,,,,,,,,,,,,,,,,
